sec_from_start,pts_time,tc_seconds,tc_str
586,586.0,50844.367033333336,14:07:24:22
587,587.0,50845.367033333336,14:07:25:22
588,588.0,50846.367033333336,14:07:26:22
589,589.0,50847.367033333336,14:07:27:22
590,590.0,50848.367033333336,14:07:28:22
591,591.0,50849.367033333336,14:07:29:22
592,592.0,50850.367033333336,14:07:30:22
593,593.0,50851.367033333336,14:07:31:22
594,594.0,50852.367033333336,14:07:32:22
595,595.0,50853.367033333336,14:07:33:22
596,596.0,50854.367033333336,14:07:34:22
597,597.0,50855.367033333336,14:07:35:22
598,598.0,50856.367033333336,14:07:36:22
599,599.0,50857.367033333336,14:07:37:22
600,600.0,50858.367033333336,14:07:38:22
601,601.0,50859.367033333336,14:07:39:22
602,602.0,50860.367033333336,14:07:40:22
603,603.0,50861.367033333336,14:07:41:22
604,604.0,50862.367033333336,14:07:42:22
605,605.0,50863.367033333336,14:07:43:22
606,606.0,50864.367033333336,14:07:44:22
607,607.0,50865.367033333336,14:07:45:22
608,608.0,50866.367033333336,14:07:46:22
609,609.0,50867.367033333336,14:07:47:22
610,610.0,50868.367033333336,14:07:48:22
611,611.0,50869.367033333336,14:07:49:22
612,612.0,50870.367033333336,14:07:50:22
613,613.0,50871.367033333336,14:07:51:22
614,614.0,50872.367033333336,14:07:52:22
615,615.0,50873.367033333336,14:07:53:22
616,616.0,50874.367033333336,14:07:54:22
617,617.0,50875.367033333336,14:07:55:22
618,618.0,50876.367033333336,14:07:56:22
619,619.0,50877.367033333336,14:07:57:22
620,620.0,50878.367033333336,14:07:58:22
621,621.0,50879.367033333336,14:07:59:22
622,622.0,50880.367033333336,14:08:00:22
